AGRDE_FLAG_NM,SEXDSTN_FLAG_CD,TROBL_TY_NM,TROBL_DETAIL_NM,TROBL_GRAD_NM,SPORTS_STEP_NM,RECOMEND_MVM_NM,FLAG_ACCTO_RECOMEND_MVM_RANK_CO
10대,F,시각장애,,1등급,준비운동,몸통 들어올리기,1
10대,F,시각장애,,1등급,준비운동,앉아서 몸통 움츠리기,1
10대,F,시각장애,,1등급,준비운동,앉아서 다리 밀기,1
10대,F,시각장애,,1등급,본운동,발 닿기,1
10대,F,시각장애,,4등급,준비운동,앉아서 다리 펴기,1
10대,F,시각장애,,4등급,준비운동,앉아서 다리 밀기,1
10대,F,지적장애,,1등급,준비운동,앉아서 다리 펴기,1
10대,F,지적장애,,1등급,준비운동,앉아서 다리 밀기,2
10대,F,지적장애,,1등급,준비운동,매달려서 다리 들기,3
10대,F,지적장애,,1등급,준비운동,앉아서 모으기,4
10대,F,지적장애,,1등급,준비운동,거꾸로 누워서 밀기,4
10대,F,지적장애,,1등급,본운동,앉아서 다리 모으기,1
10대,F,지적장애,,1등급,본운동,앉아서 위로 밀기,2
10대,F,지적장애,,1등급,본운동,서서 어깨 들어올리기,3
10대,F,지적장애,,1등급,본운동,발 닿기,4
10대,F,지적장애,,1등급,본운동,바벨 끌어당기기,5
10대,F,지적장애,,1등급,본운동,턱걸이,5
10대,F,지적장애,,1등급,마무리운동,바벨들어올리기,1
10대,F,지적장애,,1등급,마무리운동,앉아서 당겨 내리기,2
10대,F,지적장애,,1등급,마무리운동,앉아서 다리 벌리기,3
10대,F,지적장애,,1등급,마무리운동,비스듬히 누워서 밀기,4
10대,F,지적장애,,1등급,마무리운동,앉아서 다리 굽히기,5
10대,F,지적장애,,2등급,준비운동,앉아서 다리 펴기,1
10대,F,지적장애,,2등급,준비운동,앉아서 다리 밀기,2
10대,F,지적장애,,2등급,준비운동,실내 자전거타기,3
10대,F,지적장애,,2등급,준비운동,앉아서 모으기,4
10대,F,지적장애,,2등급,준비운동,파워클린,4
10대,F,지적장애,,2등급,본운동,앉아서 다리 모으기,1
10대,F,지적장애,,2등급,본운동,앉아서 위로 밀기,2
10대,F,지적장애,,2등급,본운동,서서 어깨 들어올리기,3
10대,F,지적장애,,2등급,본운동,발 닿기,4
10대,F,지적장애,,2등급,본운동,바벨 끌어당기기,4
10대,F,지적장애,,2등급,마무리운동,앉아서 다리 벌리기,1
10대,F,지적장애,,2등급,마무리운동,앉아서 다리 굽히기,2
10대,F,지적장애,,2등급,마무리운동,비스듬히 누워서 밀기,3
10대,F,지적장애,,2등급,마무리운동,바벨들어올리기,4
10대,F,지적장애,,2등급,마무리운동,앉아서 당겨 내리기,4
10대,F,지적장애,,3등급,준비운동,앉아서 다리 펴기,1
10대,F,지적장애,,3등급,준비운동,앉아서 다리 밀기,2
10대,F,지적장애,,3등급,준비운동,앉아서 모으기,3
10대,F,지적장애,,3등급,준비운동,매달려서 다리 들기,4
10대,F,지적장애,,3등급,준비운동,거꾸로 누워서 밀기,5
10대,F,지적장애,,3등급,준비운동,실내 자전거타기,5
10대,F,지적장애,,3등급,본운동,앉아서 다리 모으기,1
10대,F,지적장애,,3등급,본운동,앉아서 위로 밀기,2
10대,F,지적장애,,3등급,본운동,서서 어깨 들어올리기,3
10대,F,지적장애,,3등급,본운동,턱걸이,4
10대,F,지적장애,,3등급,본운동,바벨 끌어당기기,5
10대,F,지적장애,,3등급,마무리운동,앉아서 다리 벌리기,1
10대,F,지적장애,,3등급,마무리운동,바벨들어올리기,2
10대,F,지적장애,,3등급,마무리운동,앉아서 다리 굽히기,3
10대,F,지적장애,,3등급,마무리운동,앉아서 당겨 내리기,4
10대,F,지적장애,,3등급,마무리운동,비스듬히 누워서 밀기,5
10대,F,척수장애,T6 미만,완전 마비,준비운동,앉아서 다리 밀기,1
10대,F,척수장애,사지마비,완전 마비,준비운동,앉아서 다리 펴기,1
10대,F,척수장애,사지마비,완전 마비,마무리운동,앉아서 다리 벌리기,1
10대,F,척수장애,사지마비,불완전 마비,준비운동,앉아서 다리 밀기,1
10대,F,척수장애,사지마비,불완전 마비,준비운동,앉아서 다리 펴기,1
10대,F,척수장애,T6 미만,불완전 마비,준비운동,앉아서 모으기,3
10대,F,척수장애,사지마비,불완전 마비,본운동,앉아서 다리 모으기,1
10대,F,척수장애,T6 이상,불완전 마비,본운동,앉아서 다리 모으기,2
10대,F,척수장애,사지마비,불완전 마비,마무리운동,앉아서 다리 굽히기,1
10대,F,척수장애,사지마비,불완전 마비,마무리운동,앉아서 다리 벌리기,2
10대,F,척수장애,T6 이상,불완전 마비,마무리운동,앉아서 다리 벌리기,3
