TROBL_TY_NM,WarmUp,Main,Finish
척수장애,앉아서 다리 밀기,누워서 밀기,바벨들어올리기
척수장애,앉아서 다리 펴기,앉아서 뒤로 당기기,비스듬히 누워서 밀기
척수장애,앉아서 다리 펴기,앉아서 위로 밀기,앉아서 당겨 내리기
척수장애,앉아서 밀기,앉아서 다리 모으기,앉아서 다리 벌리기
척수장애,앉아서 다리 밀기,앉아서 다리 모으기,비스듬히 누워서 밀기
척수장애,앉아서 다리 밀기,발 닿기,앉아서 다리 벌리기
척수장애,앉아서 다리 펴기,앉아서 위로 밀기,앉아서 다리 벌리기
척수장애,뒤꿈치 들기,앉아서 다리 모으기,앉아서 다리 벌리기
척수장애,앉아서 모으기,허리 굽혀 덤벨 들기,계단 올라갔다 내려오기
척수장애,앉아서 다리 펴기,앉아서 뒤로 당기기,비스듬히 누워서 밀기
척수장애,실내 자전거타기,앉아서 위로 밀기,앉아서 다리 벌리기
척수장애,실내 자전거타기,계단 뛰어 오르기,앉아서 다리 벌리기
척수장애,앉아서 모으기,앉아서 위로 밀기,앉아서 다리 굽히기
척수장애,앉아서 다리 밀기,앉아서 다리 모으기,바벨들어올리기
척수장애,앉아서 다리 밀기,앉아서 뒤로 당기기,바벨들어올리기
척수장애,실내 자전거타기,허리 굽혀 덤벨 들기,앉아서 다리 굽히기
척수장애,앉아서 모으기,앉아서 다리 모으기,앉아서 다리 굽히기
척수장애,앉아서 다리 밀기,앉아서 위로 밀기,앉아서 다리 굽히기
척수장애,앉아서 다리 밀기,허리 굽혀 덤벨 들기,앉아서 다리 벌리기
척수장애,앉아서 다리 밀기,앉아서 뒤로 당기기,앉아서 다리 벌리기
척수장애,앉아서 다리 밀기,앉아서 다리 모으기,앉아서 다리 벌리기
척수장애,앉아서 다리 펴기,앉아서 위로 밀기,앉아서 다리 굽히기
척수장애,앉아서 다리 펴기,앉아서 뒤로 당기기,앉아서 다리 벌리기
척수장애,앉아서 모으기,앉아서 뒤로 당기기,앉아서 다리 굽히기
척수장애,실내 자전거타기,누워서 밀기,앉아서 다리 굽히기
척수장애,앉아서 다리 펴기,누워서 밀기,앉아서 다리 벌리기
척수장애,트레드밀에서 걷기,허리 굽혀 덤벨 들기,바벨들어올리기
척수장애,앉아서 모으기,허리 굽혀 덤벨 들기,앉아서 다리 굽히기
척수장애,앉아서 모으기,앉아서 위로 밀기,비스듬히 누워서 밀기
척수장애,앉아서 다리 밀기,앉아서 위로 밀기,비스듬히 누워서 밀기
